,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
115,1,6405,4727,7269,6714,13,13
116,1,6405,4921,7269,5511,13,10
117,1,6405,4765,7269,6154,13,13
118,1,6405,5773,7269,6704,13,13
119,1,6405,5773,7269,6704,13,13
120,1,6405,5773,7269,6704,13,13
121,1,6206,4112,7113,4971,13,10
122,1,6206,4112,7113,4971,13,10
123,1,5376,4873,6232,5519,13,12
124,1,7114,5041,7847,5746,13,12
125,1,6331,4687,7164,7804,13,13
126,0,6331,4687,7164,7804,13,13
127,1,6270,6460,6634,7463,12,13
128,0,6270,6460,6634,7463,12,13
129,1,6270,6460,6634,7463,12,13
130,1,6270,6460,6634,7463,12,13
131,1,6270,6460,6634,7463,12,13
132,1,6270,6460,6634,7463,12,13
133,0,6270,6460,6634,7463,12,13
134,0,6270,6460,6634,7463,12,13
135,1,6325,6319,7121,7079,13,13
136,1,6325,6319,7121,7079,13,13
137,0,6325,6319,7121,7079,13,13
138,1,6325,6319,7121,7079,13,13
139,1,6325,6319,7121,7079,13,13
140,0,6325,6319,7121,7079,13,13
141,1,6325,6319,7121,7079,13,13
142,0,6068,5944,6639,7072,13,13
143,1,6021,5194,6814,6304,13,13
144,1,6044,5096,6814,6304,13,13
145,1,6044,5096,6814,6304,13,13
146,1,5887,6251,7072,6814,13,13
147,1,5887,6251,7072,6814,13,13
148,1,5887,6251,7072,6814,13,13
149,1,5944,6068,7072,6639,13,13
150,0,5915,6249,7072,7348,13,13
151,0,5915,6249,7072,7348,13,13
152,0,5915,6249,7072,7348,13,13
153,1,5943,6627,7072,7377,13,13
154,0,5943,6627,7072,7377,13,13
155,0,5943,6627,7072,7377,13,13
156,1,5943,6627,7072,7377,13,13
157,1,7435,4274,7949,5374,13,12
158,1,7435,4274,7949,5374,13,12
159,1,4906,4328,5950,5346,13,12
160,1,4906,4328,5950,5346,13,12
161,1,4906,4328,5950,5346,13,12
162,0,4848,4328,5950,5346,13,12
163,0,4848,4298,5950,5346,13,12
164,1,4848,4298,5950,5346,13,12
165,1,4848,4298,5950,5346,13,12
166,1,4796,4333,5704,5329,12,11
167,0,4796,4333,5704,5329,12,11
168,1,4796,4333,5704,5329,12,11
169,1,4796,4304,5704,5329,12,11
170,1,4750,4320,5518,4936,12,10
171,0,4328,4906,5346,5950,12,13
172,0,4328,4906,5346,5950,12,13
173,0,4328,4906,5346,5950,12,13
174,1,4328,4848,5346,5950,12,13
175,1,4298,4848,5346,5950,12,13
176,0,4298,4848,5346,5950,12,13
177,0,4298,4848,5346,5950,12,13
178,1,7118,6653,7860,7489,13,13
179,0,7101,4755,7488,7725,13,13
180,1,6628,5545,6701,6479,13,13
181,1,6628,5545,6701,6479,13,13
182,0,6628,5545,6701,6479,13,13
183,1,6628,5545,6701,6479,13,13
184,1,6628,5545,6701,6479,13,13
185,0,6653,7118,7489,7860,13,13
186,1,6009,4553,6777,5294,13,10
187,0,7065,6281,7575,7883,13,13
188,1,7035,6102,7575,7277,13,13
189,1,6874,6064,7384,7525,13,13
190,0,6860,5140,7783,7146,13,13
191,1,6860,5140,7783,7146,13,13
192,1,6860,5140,7783,7146,13,13
193,0,6860,6338,7783,7145,13,13
194,1,6848,6000,7133,6827,13,13
195,1,6848,5663,7133,6654,13,13
196,1,6848,5663,7133,6654,13,13
197,1,6848,5663,7133,6654,13,13
198,0,6756,5045,7133,5732,13,12
199,1,6817,5514,7276,6616,13,12
200,0,6817,4763,7276,6354,13,12
201,1,6817,4763,7276,6354,13,12
202,1,6817,5514,7276,6616,13,12
203,1,6817,5514,7276,6616,13,12
204,1,6817,5514,7276,6616,13,12
205,1,6817,5514,7276,6616,13,12
206,1,6663,6240,7768,7512,13,13
207,1,6663,6240,7768,7512,13,13
208,1,6663,6240,7768,7512,13,13
209,1,6663,6240,7768,7512,13,13
210,1,6663,6240,7768,7512,13,13
211,1,6663,6240,7768,7512,13,13
212,1,6663,6145,7768,7512,13,13
213,1,6663,6145,7768,7512,13,13
214,0,6663,6145,7768,7512,13,13
215,1,6663,6145,7768,7512,13,13
216,1,6663,6145,7768,7512,13,13
217,0,6663,6145,7768,7512,13,13
218,1,6379,5779,7327,8029,13,13
219,1,6379,5779,7327,8029,13,13
220,0,6379,5779,7327,8029,13,13
221,0,6379,5779,7327,8029,13,13
222,1,6379,5779,7327,8029,13,13
223,0,6379,5779,7327,8029,13,13
224,0,6379,5779,7327,8029,13,13
225,0,6379,5779,7327,8029,13,13
226,1,6379,5779,7327,8029,13,13
227,0,6379,5779,7327,8029,13,13
228,1,6379,5779,7327,8029,13,13
229,0,6379,5779,7327,8029,13,13
230,1,6379,5779,7327,8029,13,13
231,0,6379,5779,7327,8029,13,13
232,0,6379,5748,7327,8029,13,13
233,1,6379,5748,7327,8029,13,13
234,1,6379,5748,7327,8029,13,13
235,0,6379,5748,7327,8029,13,13
